,tweet_id,screen_name,text,timestamp,conversation_id
0,1349843764408414213,nytimes,"The National Guard troops deployed for the inauguration will be armed. But history has shown that such events never go well, senior Defense Department officials said on Wednesday, citing Kent State in 1970, Tiananmen Square in 1989 and Tehran in 2009. https://t.co/rNVc31eHDB",2021-01-14 22:20:06,1349843764408414213
1,1349841047636107265,nytimes,"Breaking News: President-elect Joe Biden will propose a $1.9 trillion package to fight the economic downturn, including higher jobless benefits and $1,400 stimulus checks to top up the $600 checks from December. https://t.co/IOcGviEnWz",2021-01-14 22:09:19,1349841047636107265
2,1349838775967490049,nytimes,Cheesy chicken parmesan meatballs deliver an equally comforting and satisfying meal as chicken Parmesan without the fuss of breading and frying chicken. https://t.co/OFxShS6Y7T,2021-01-14 22:00:17,1349838775967490049
3,1349836210127167496,nytimes,"Michael Apted’s documentary series, “Up,” chronicled the lives of its subjects every seven years since 1964. His death last week leaves the fate of his decades-long project up in the air. https://t.co/BXC2ZnuSRL",2021-01-14 21:50:05,1349836210127167496
4,1349833686108286976,nytimes,"Senator Lisa Murkowski, Republican of Alaska, said on Thursday that the House acted “appropriately” in impeaching President Trump, signaling her possible support for convicting him at a Senate trial. https://t.co/dNTUaBe7Gq",2021-01-14 21:40:04,1349833686108286976
5,1349827426386403330,nytimes,"Investigators are looking into military members or police officers who may have been involved in the Capitol riot, a law enforcement official said. They have yet to find evidence that any member of Congress was involved, but are scrutinizing those leads. https://t.co/SosPKyfmtD",2021-01-14 21:15:11,1349827426386403330
6,1349823661570727942,nytimes,"Vaccine rollout has varied widely across the 155 medical schools in the U.S., causing confusion and stress for some medical students.
https://t.co/NhigsXoIta",2021-01-14 21:00:14,1349823661570727942
7,1349818583518490624,nytimes,"The former governor of Michigan, Rick Snyder, was charged with willful neglect of duty in connection with his role in the Flint water crisis. If convicted, the charges are punishable by imprisonment of up to one year or a maximum fine of $1,000. https://t.co/CXdGhCm2Cy",2021-01-14 20:40:03,1349818583518490624
8,1349816081863618564,nytimes,David L. Norquist will be the lone Trump holdover running the Pentagon until Joe Biden’s defense secretary pick is confirmed. https://t.co/Vrp0zXuX31,2021-01-14 20:30:06,1349816081863618564
9,1349813563171491841,nytimes,"Andrew Yang’s New York City mayoral campaign, which officially began Wednesday night, will center on universal basic income — an issue that some of his competitors have considered making their own. https://t.co/YlWe45trAo",2021-01-14 20:20:06,1349813563171491841
10,1349808586831126532,nytimes,"We’re tracking virus restrictions around the U.S. Here’s the latest:
- Montana rolled back limits on business capacity and gatherings
- California lifted a stay-at-home order for the Sacramento area
- Michigan extended its indoor-dining ban through Feb. 1
https://t.co/GNN8cGzR4y",2021-01-14 20:00:19,1349808586831126532
11,1349804772224880645,nytimes,"In Opinion 

“Now that the Trump presidency has disintegrated into mayhem and madness, how are the conservative members of the Supreme Court processing these past four years?” writes Linda Greenhouse. https://t.co/ILX4Ayk3js",2021-01-14 19:45:10,1349804772224880645
12,1349800990413893640,nytimes,"“Queens man impeached”
“Queens man evicted”
“Queens man impeached — again.”

— Recent headlines by the Queens Daily Eagle, a news outlet in the New York City borough where President Trump was born.
https://t.co/TcnqOHe6gN",2021-01-14 19:30:08,1349800990413893640
13,1349797227934474240,nytimes,"The rise in the number of children, teens and young adults in the U.S. who got the coronavirus late last year paralleled the increase among older adults, the CDC said in one of two studies published this week about the virus’s impact on young people. https://t.co/JsKc3oymaj",2021-01-14 19:15:11,1349797227934474240
14,1349793477798801409,nytimes,"A man was found stabbed to death in Queens on Thursday morning, with three of his relatives lying nearby, unconscious and barely alive, the police said. They have arrested the man's 30-year-old son. https://t.co/CDHe4F5RAp",2021-01-14 19:00:17,1349793477798801409
